batch	set	plate	row/col
1	1	1	D1
1	1	1	E6
1	1	2	F8
1	1	3	A6
1	1	3	F5
1	1	4	A1
1	2	1	B10
1	2	1	C10
1	2	1	F3
1	2	3	F7
1	2	3	G3
1	2	3	G6
1	2	3	H6
1	2	4	A3
1	2	4	E6 
1	2	4	E9
1	3	1	B8
1	3	1	B11
1	3	2	C12
1	3	2	D5
1	3	3	D9
1	3	3	E8
1	3	4	C12
1	3	4	D7
1	4	1	A7
1	4	1	D6
1	4	1	H5
1	4	2	B8
1	4	3	E5
1	4	4	B1
1	4	4	B6
1	5	1	F2
1	5	1	F10
1	5	1	H11
1	5	3	H8
1	5	4	C4
1	5	4	C9
1	5	4	F12
1	6	1	G7
1	6	3	B8
1	6	3	D10
1	7	1	G10
1	7	2	B9
1	7	2	E12
1	7	2	F10
1	7	2	H10
1	7	3	F3
1	8	2	B3
1	8	2	C9
1	8	2	D12
1	8	2	E3
1	8	3	A2
1	8	4	B4
1	9	3	D12
1	9	4	B7
1	9	4	F8
1	9	4	G6
1	9	4	H8
1	10	1	G2
1	10	2	A4
1	10	2	G10
1	10	3	C9
1	10	3	C10
1	10	4	A9
1	10	4	D12
1	11	1	D10
1	11	1	E2
1	11	1	E7
1	11	2	A6
1	11	2	F2
1	11	2	G6
1	11	3	D6
1	11	4	A7
1	11	4	D8
1	12	1	F9
1	12	1	G10
1	12	2	E6
1	12	2	E10
1	12	2	G8
1	12	3	F1
1	12	3	H7
1	12	4	A7
1	12	4	D11
2	1	1	B1
2	1	1	G7
2	1	3	D11
2	1	4	B7
2	1	4	D8
2	2	1	E2
2	2	2	A11
2	2	3	B10
2	2	4	B3
2	2	4	E3
2	2	4	G5
2	3	1	B6
2	3	1	B12
2	3	1	H12
2	3	2	C9
2	3	2	G11
2	3	3	G6
2	3	4	F6
2	4	1	G7
2	4	4	G2
2	4	4	G3
2	5	2	E9
2	5	3	G10
2	5	4	C8
2	6	1	H6
2	6	2	G6
2	6	3	F8
2	7	1	B2
2	7	1	D8
2	7	2	A2
2	7	2	E6
2	7	3	E11
2	7	4	D9
2	8	1	E7
2	8	2	C4
2	8	2	G10
2	8	2	B11
2	8	4	G1
2	8	4	B6
2	9	1	G5
2	9	1	A6
2	9	1	C6
2	9	2	C3
2	9	2	B4
2	9	3	D6
2	9	4	D6
2	10	2	C2
2	10	2	D9
2	10	2	C10
2	10	2	G11
2	10	2	D12
2	10	3	D4
2	10	3	B11
2	10	4	F6
2	10	4	G11
2	11	1	A2
2	11	3	G1
2	11	3	C4
2	11	3	A8
2	12	1	F9
2	12	1	G10
2	12	1	F11
2	12	3	F8
3	1	1	A4
3	1	1	B8
3	1	1	E9
3	1	2	A1
3	1	2	D2
3	1	2	B9
3	1	3	D3
3	1	4	D1
3	1	4	E5
3	1	4	C6
3	2	1	A4
3	2	1	D6
3	2	1	H8
3	2	2	G3
3	2	2	F4
3	2	3	B6
3	2	3	H7
3	2	3	H8
3	2	3	B11
3	2	3	H11
3	2	3	D12
3	2	4	C3
3	2	4	F8
3	3	1	D2
3	3	1	F2
3	3	2	G1
3	3	2	A4
3	3	3	B5
3	3	3	B6
3	3	4	H7
3	3	4	A8
3	3	4	F11
3	4	1	C1
3	4	1	F9
3	4	1	D12
3	4	2	B7
